边,biān
滨,bīn
橙,chéng
春,chūn
葱,cōng
底,dǐ
冬,dōng
后,hòu
季,jì
姜,jiāng
界,jiè
卡,kǎ
刻,kè
梨,lí
里,lǐ
秒,miǎo
末,mò
内,nèi
畔,pàn
前,qián
仁,rén
日,rì
桃,táo
外,wài
下,xià
夏,xià
杏,xìng
血,xuè
右,yòu
釉,yòu
月,yuè
周,zhōu
左,zuǒ
板壁,bǎn,bì
板材,bǎn,cái
板层,bǎn,céng
板车,bǎn,chē
板床,bǎn,chuáng
板凳,bǎn,dèng
板底,bǎn,dǐ
板顶,bǎn,dǐng
板阀,bǎn,fá
板房,bǎn,fáng
板斧,bǎn,fǔ
板根,bǎn,gēn
板鼓,bǎn,gǔ
板厚,bǎn,hòu
板胡,bǎn,hú
板江,bǎn,jiāng
板结,bǎn,jié
板井,bǎn,jǐng
板扣,bǎn,kòu
板块,bǎn,kuài
板栗,bǎn,lì
板脸,bǎn,liǎn
板路,bǎn,lù
板门,bǎn,mén
板桥,bǎn,qiáo
板石,bǎn,shí
板式,bǎn,shì
板书,bǎn,shū
板刷,bǎn,shuā
板塘,bǎn,táng
板箱,bǎn,xiāng
板星,bǎn,xīng
板形,bǎn,xíng
板型,bǎn,xíng
板鸭,bǎn,yā
板牙,bǎn,yá
板岩,bǎn,yán
板眼,bǎn,yǎn
板业,bǎn,yè
板硬,bǎn,yìng
板油,bǎn,yóu
板枣,bǎn,zǎo
板闸,bǎn,zhá
板障,bǎn,zhàng
板正,bǎn,zhèng
板滞,bǎn,zhì
板子,bǎn,zi
版本,bǎn,běn
版次,bǎn,cì
版画,bǎn,huà
版籍,bǎn,jí
版刻,bǎn,kè
版口,bǎn,kǒu
版面,bǎn,miàn
版纳,bǎn,nà
版权,bǎn,quán
版式,bǎn,shì
版税,bǎn,shuì
版图,bǎn,tú
版心,bǎn,xīn
版主,bǎn,zhǔ
版筑,bǎn,zhù
办案,bàn,àn
办班,bàn,bān
办报,bàn,bào
办到,bàn,dào
办法,bàn,fǎ
办稿,bàn,gǎo
办公,bàn,gōng
办货,bàn,huò
办理,bàn,lǐ
办事,bàn,shì
办学,bàn,xué
办置,bàn,zhì
半百,bàn,bǎi
半板,bàn,bǎn
半饱,bàn,bǎo
半贝,bàn,bèi
半壁,bàn,bì
半边,bàn,biān
半波,bàn,bō
半大,bàn,dà
半单,bàn,dān
半岛,bàn,dǎo
半道,bàn,dào
半点,bàn,diǎn
半垫,bàn,diàn
半浮,bàn,fú
半酣,bàn,hān
半厚,bàn,hòu
半环,bàn,huán
半毁,bàn,huǐ
半价,bàn,jià
半截,bàn,jié
半径,bàn,jìng
半空,bàn,kōng
半扣,bàn,kòu
半拉,bàn,lǎ
半路,bàn,lù
半螺,bàn,luó
半票,bàn,piào
半球,bàn,qíu
半醛,bàn,quán
半日,bàn,rì
半山,bàn,shān
半晌,bàn,shǎng
半身,bàn,shēn
半生,bàn,shēng
半世,bàn,shì
半数,bàn,shù
半死,bàn,sǐ
半天,bàn,tiān
半途,bàn,tú
半溪,bàn,xī
半夏,bàn,xià
半像,bàn,xiàng
半型,bàn,xíng
半休,bàn,xīu
半垟,bàn,yáng
半腰,bàn,yāo
半夜,bàn,yè
半音,bàn,yīn
半影,bàn,yǐng
半硬,bàn,yìng
半圆,bàn,yuán
半月,bàn,yuè
半嶂,bàn,zhàng
半柱,bàn,zhù
半子,bàn,zǐ
伴唱,bàn,chàng
伴读,bàn,dú
伴郎,bàn,láng
伴侣,bàn,lǚ
伴娘,bàn,niáng
伴生,bàn,shēng
伴送,bàn,sòng
伴随,bàn,suí
伴同,bàn,tóng
伴舞,bàn,wǔ
伴星,bàn,xīng
伴型,bàn,xíng
伴音,bàn,yīn
伴游,bàn,yóu
伴奏,bàn,zòu
拌成,bàn,chéng
拌到,bàn,dào
拌和,bàn,huò
拌蒜,bàn,suàn
拌土,bàn,tǔ
拌馅,bàn,xiàn
拌种,bàn,zhǒng
拌嘴,bàn,zuǐ
绊倒,bàn,dǎo
绊子,bàn,zǐ
瓣阀,bàn,fá
瓣环,bàn,huán
瓣门,bàn,mén
瓣膜,bàn,mó
瓣器,bàn,qì
瓣状,bàn,zhuàng
扮起,bàn,qǐ
扮戏,bàn,xì
扮相,bàn,xiàng
扮演,bàn,yǎn
扮装,bàn,zhuāng
邦博,bāng,bó
邦宏,bāng,hóng
邦基,bāng,jī
邦健,bāng,jiàn
邦交,bāng,jiāo
邦洁,bāng,jié
邦联,bāng,lián
邦美,bāng,měi
邦纳,bāng,nà
邦仕,bāng,shì
邦泰,bāng,tài
邦亭,bāng,tíng
邦欣,bāng,xīn
邦信,bāng,xìn
邦阳,bāng,yáng
帮办,bāng,bàn
帮备,bāng,bèi
帮补,bāng,bǔ
帮衬,bāng,chèn
帮厨,bāng,chú
帮凑,bāng,còu
帮扶,bāng,fú
帮工,bāng,gōng
帮会,bāng,huì
帮教,bāng,jiào
帮忙,bāng,máng
帮派,bāng,pài
帮腔,bāng,qiāng
帮手,bāng,shǒu
帮套,bāng,tào
帮同,bāng,tóng
帮闲,bāng,xián
帮凶,bāng,xiōng
帮佣,bāng,yōng
帮重,bāng,zhòng
帮州,bāng,zhōu
帮洲,bāng,zhōu
帮主,bāng,zhǔ
帮助,bāng,zhù
帮子,bāng,zǐ
梆硬,bāng,yìng
梆子,bāng,zi
绑带,bǎng,dài
绑定,bǎng,dìng
绑匪,bǎng,fěi
绑缚,bǎng,fù
绑架,bǎng,jià
绑票,bǎng,piào
绑丝,bǎng,sī
绑腿,bǎng,tuǐ
榜首,bǎng,shǒu
榜书,bǎng,shū
榜文,bǎng,wén
榜眼,bǎng,yǎn
榜样,bǎng,yàng
蚌埠,bèng,bù
蚌粉,bàng,fěn
蚌泪,bàng,lèi
棒冰,bàng,bīng
棒操,bàng,cāo
棒槌,bàng,chuí
棒管,bàng,guǎn
棒喝,bàng,hè
棒客,bàng,kè
棒球,bàng,qíu
棒酸,bàng,suān
棒铜,bàng,tóng
棒鳚,bàng,wèi
棒型,bàng,xíng
棒子,bàng,zi
傍河,bàng,hé
傍晚,bàng,wǎn
傍午,bàng,wǔ
傍依,bàng,yī
磅礴,páng,bó
磅秤,bàng,chèng
磅逊,bàng,xùn
磅值,bàng,zhí
磅重,bàng,zhòng
包办,bāo,bàn
包被,bāo,bèi
包庇,bāo,bì
包藏,bāo,cáng
包层,bāo,céng
包产,bāo,chǎn
包场,bāo,chǎng
包抄,bāo,chāo
包车,bāo,chē
包单,bāo,dān
包饭,bāo,fàn
包房,bāo,fáng
包封,bāo,fēng
包敷,bāo,fū
包覆,bāo,fù
包袱,bāo,fú
包干,bāo,gān
包工,bāo,gōng
包公,bāo,gōng
包箍,bāo,gū
包谷,bāo,gǔ
包管,bāo,guǎn
包柜,bāo,guì
包裹,bāo,guǒ
包含,bāo,hán
包涵,bāo,hán
包换,bāo,huàn
包伙,bāo,huǒ
包机,bāo,jī
包架,bāo,jià
包肩,bāo,jiān
包件,bāo,jiàn
包接,bāo,jiē
包金,bāo,jīn
包茎,bāo,jīng
包晶,bāo,jīng
包举,bāo,jǔ
包扣,bāo,kòu
包括,bāo,kuò
包揽,bāo,lǎn
包罗,bāo,luó
包络,bāo,luò
包铝,bāo,lǚ
包埋,bāo,mái
包纳,bāo,nà
包囊,bāo,náng
包赔,bāo,péi
包皮,bāo,pí
包票,bāo,piào
包砌,bāo,qì
包铅,bāo,qiān
包容,bāo,róng
包饰,bāo,shì
包套,bāo,tào
包铜,bāo,tóng
包头,bāo,tóu
包围,bāo,wéi
包析,bāo,xī
包锡,bāo,xī
包席,bāo,xí
包厢,bāo,xiāng
包镶,bāo,xiāng
包销,bāo,xiāo
包锌,bāo,xīn
包伊,bāo,yī
包衣,bāo,yī
包银,bāo,yín
包月,bāo,yuè
包孕,bāo,yùn
包扎,bāo,zā
包纸,bāo,zhǐ
包装,bāo,zhuāng
包子,bāo,zi
包租,bāo,zū
包座,bāo,zuò
苞菜,bāo,cài
苞谷,bāo,gǔ
苞米,bāo,mǐ
苞叶,bāo,yè
孢瓣,bāo,bàn
孢粉,bāo,fěn
孢丝,bāo,sī
孢型,bāo,xíng
孢质,bāo,zhì
孢子,bāo,zi
胞波,bāo,bō
胞啶,bāo,dìng
胞苷,bāo,gān
胞宫,bāo,gōng
胞果,bāo,guǒ
胞核,bāo,hé
胞肓,bāo,huāng
胞肌,bāo,jī
胞妹,bāo,mèi
胞门,bāo,mén
胞膜,bāo,mó
胞腔,bāo,qiāng
胞室,bāo,shì
胞胎,bāo,tāi
胞隙,bāo,xì
胞兄,bāo,xiōng
胞芽,bāo,yá
胞衣,bāo,yī
胞蚴,bāo,yòu
胞质,bāo,zhì
煲汤,bāo,tāng
褒贬,bāo,biǎn
褒词,bāo,cí
褒河,bāo,hé
褒奖,bāo,jiǎng
褒汤,bāo,tāng
褒扬,bāo,yáng
褒义,bāo,yì
褒赞,bāo,zàn
雹泉,báo,quán
雹石,báo,shí
雹灾,báo,zāi
雹子,báo,zǐ
薄板,báo,bǎn
薄薄,báo,báo
薄饼,báo,bǐng
薄层,báo,céng
薄产,bó,chǎn
薄脆,báo,cuì
薄待,bó,dài
薄的,báo,de
薄地,bó,dì
薄荷,bò,he
薄厚,bó,hòu
薄酒,bó,jǐu
薄礼,bó,lǐ
薄利,bó,lì
薄命,bó,mìng
薄膜,báo,mó
薄暮,bó,mù
薄片,báo,piàn
薄情,bó,qíng
薄弱,bó,ruò
薄田,bó,tián
薄雾,bó,wù
饱餐,bǎo,cān
饱尝,bǎo,cháng
饱读,bǎo,dú
饱嗝,bǎo,gé
饱含,bǎo,hán
饱和,bǎo,hé
饱览,bǎo,lǎn
饱满,bǎo,mǎn
饱暖,bǎo,nuǎn
饱食,bǎo,shí
饱受,bǎo,shòu
饱学,bǎo,xué
宝柏,bǎo,bǎi
宝宝,bǎo,bǎo
宝贝,bǎo,bèi
宝藏,bǎo,zàng
宝刹,bǎo,chà
宝辰,bǎo,chén
宝城,bǎo,chéng
宝刀,bǎo,dāo
宝岛,bǎo,dǎo
宝邸,bǎo,dǐ
宝坻,bǎo,dǐ
宝地,bǎo,dì
宝典,bǎo,diǎn
宝殿,bǎo,diàn
宝都,bǎo,dōu
宝丰,bǎo,fēng
宝峰,bǎo,fēng
宝贵,bǎo,guì
宝号,bǎo,hào
宝盒,bǎo,hé
宝辉,bǎo,huī
宝货,bǎo,huò
宝鸡,bǎo,jī
宝剑,bǎo,jiàn
宝眷,bǎo,juàn
宝克,bǎo,kè
宝库,bǎo,kù
宝兰,bǎo,lán
宝蓝,bǎo,lán
宝龙,bǎo,lóng
宝楼,bǎo,lóu
宝美,bǎo,měi
宝清,bǎo,qīng
宝山,bǎo,shān
宝石,bǎo,shí
宝收,bǎo,shōu
宝书,bǎo,shū
宝塔,bǎo,tǎ
宝潭,bǎo,tán
宝威,bǎo,wēi
宝物,bǎo,wù
宝玺,bǎo,xǐ
宝祥,bǎo,xiáng
宝兴,bǎo,xīng
宝应,bǎo,yìng
宝玉,bǎo,yù
宝冢,bǎo,zhǒng
宝洲,bǎo,zhōu
宝珠,bǎo,zhū
宝座,bǎo,zuò
保安,bǎo,ān
保本,bǎo,běn
保镖,bǎo,biāo
保藏,bǎo,cáng
保持,bǎo,chí
保存,bǎo,cún
保单,bǎo,dān
保德,bǎo,dé
保堤,bǎo,dī
保底,bǎo,dǐ
保定,bǎo,dìng
保毒,bǎo,dú
保额,bǎo,é
保丰,bǎo,fēng
保福,bǎo,fú
保肝,bǎo,gān
保根,bǎo,gēn
保管,bǎo,guǎn
保果,bǎo,guǒ
保函,bǎo,hán
保喉,bǎo,hóu
保护,bǎo,hù
保皇,bǎo,huáng
保甲,bǎo,jiá
保价,bǎo,jià
保驾,bǎo,jià
保建,bǎo,jiàn
保荐,bǎo,jiàn
保健,bǎo,jiàn
保洁,bǎo,jié
保靖,bǎo,jìng
保举,bǎo,jǔ
保留,bǎo,líu
保媒,bǎo,méi
保密,bǎo,mì
保苗,bǎo,miáo
保姆,bǎo,mǔ
保暖,bǎo,nuǎn
保票,bǎo,piào
保全,bǎo,quán
保泉,bǎo,quán
保人,bǎo,rén
保山,bǎo,shān
保墒,bǎo,shāng
保湿,bǎo,shī
保释,bǎo,shì
保收,bǎo,shōu
保守,bǎo,shǒu
保税,bǎo,shuì
保送,bǎo,sòng
保胎,bǎo,tāi
保泰,bǎo,tài
保亭,bǎo,tíng
保网,bǎo,wǎng
保旺,bǎo,wàng
保卫,bǎo,wèi
保胃,bǎo,wèi
保温,bǎo,wēn
保鲜,bǎo,xiān
保险,bǎo,xiǎn
保协,bǎo,xié
保修,bǎo,xīu
保养,bǎo,yǎng
保叶,bǎo,yè
保英,bǎo,yīng
保婴,bǎo,yīng
保优,bǎo,yōu
保有,bǎo,yǒu
保佑,bǎo,yòu
保育,bǎo,yù
保长,bǎo,zhǎng
保障,bǎo,zhàng
保真,bǎo,zhēn
保证,bǎo,zhèng
保值,bǎo,zhí
保质,bǎo,zhì
保重,bǎo,zhòng
保准,bǎo,zhǔn
鸨科,bǎo,kē
鸨母,bǎo,mǔ
堡河,bǎo,hé
堡垒,bǎo,lěi
堡寨,bǎo,zhài
堡子,bǔ,zi
报案,bào,àn
报靶,bào,bǎ
报表,bào,biǎo
报偿,bào,cháng
报呈,bào,chéng
报仇,bào,chóu
报酬,bào,chóu
报答,bào,dá
报单,bào,dān
报导,bào,dǎo
报到,bào,dào
报道,bào,dào
报德,bào,dé
报端,bào,duān
报恩,bào,ēn
报贩,bào,fàn
报废,bào,fèi
报复,bào,fù
报告,bào,gào
报功,bào,gōng
报关,bào,guān
报官,bào,guān
报馆,bào,guǎn
报国,bào,guó
报价,bào,jià
报架,bào,jià
报奖,bào,jiǎng
报捷,bào,jié
报界,bào,jiè
报警,bào,jǐng
报刊,bào,kān
报考,bào,kǎo
报矿,bào,kuàng
报廊,bào,láng
报领,bào,lǐng
报媒,bào,méi
报名,bào,míng
报幕,bào,mù
报批,bào,pī
报请,bào,qǐng
报庆,bào,qìng
报人,bào,rén
报丧,bào,sāng
报社,bào,shè
报审,bào,shěn
报失,bào,shī
报时,bào,shí
报数,bào,shù
报税,bào,shuì
报摊,bào,tān
报亭,bào,tíng
报童,bào,tóng
报头,bào,tóu
报务,bào,wù
报喜,bào,xǐ
报险,bào,xiǎn
报销,bào,xiāo
报晓,bào,xiǎo
报效,bào,xiào
报信,bào,xìn
报修,bào,xīu
报汛,bào,xùn
报业,bào,yè
报应,bào,yìng
报忧,bào,yōu
报怨,bào,yuàn
报站,bào,zhàn
报章,bào,zhāng
报账,bào,zhàng
报支,bào,zhī
报纸,bào,zhǐ
抱板,bào,bǎn
抱病,bào,bìng
抱草,bào,cǎo
抱带,bào,dài
抱垫,bào,diàn
抱定,bào,dìng
抱负,bào,fù
抱箍,bào,gū
抱蛤,bào,gé
抱憾,bào,hàn
抱恨,bào,hèn
抱愧,bào,kuì
抱龙,bào,lóng
抱歉,bào,qiàn
抱屈,bào,qū
抱拳,bào,quán
抱室,bào,shì
抱守,bào,shǒu
抱毯,bào,tǎn
抱窝,bào,wō
抱养,bào,yǎng
抱怨,bào,yuàn
豹斑,bào,bān
豹潜,bào,qián
豹鼠,bào,shǔ
豹蛙,bào,wā
豹鳚,bào,wèi
鲍鼎,bào,dǐng
鲍尔,bào,ěr
鲍剑,bào,jiàn
鲍克,bào,kè
鲍什,bào,shén
鲍鱼,bào,yú
鲍庄,bào,zhuāng
暴病,bào,bìng
暴跌,bào,diē
暴动,bào,dòng
暴发,bào,fā
暴风,bào,fēng
暴富,bào,fù
暴光,bào,guāng
暴行,bào,xíng
暴洪,bào,hóng
暴吼,bào,hǒu
暴击,bào,jī
暴君,bào,jūn
暴狼,bào,láng
暴力,bào,lì
暴利,bào,lì
暴戾,bào,lì
暴敛,bào,liǎn
暴烈,bào,liè
暴聋,bào,lóng
暴露,bào,lù
暴乱,bào,luàn
暴怒,bào,nù
暴虐,bào,nve
暴升,bào,shēng
暴死,bào,sǐ
暴缩,bào,suō
暴跳,bào,tiào
暴突,bào,tū
暴徒,bào,tú
暴泻,bào,xiè
暴雨,bào,yǔ
暴藻,bào,zǎo
暴躁,bào,zào
暴涨,bào,zhǎng
暴政,bào,zhèng
暴注,bào,zhù
暴卒,bào,zú
爆炒,bào,chǎo
爆肚,bào,dǔ
爆堆,bào,duī
爆发,bào,fā
爆锅,bào,guō
爆轰,bào,hōng
爆击,bào,jī
爆力,bào,lì
爆烈,bào,liè
爆裂,bào,liè
爆满,bào,mǎn
爆棚,bào,péng
爆破,bào,pò
爆燃,bào,rán
爆锑,bào,tī
爆牙,bào,yá
爆炸,bào,zhà
爆殖,bào,zhí
爆竹,bào,zhú
陂阁,bēi,gé
陂美,bēi,měi
陂塘,bēi,táng
陂陀,pō,tuó
杯部,bēi,bù
杯灯,bēi,dēng
杯壶,bēi,hú
杯架,bēi,jià
杯筐,bēi,kuāng
杯赛,bēi,sài
杯突,bēi,tū
杯苋,bēi,xiàn
杯形,bēi,xíng
杯型,bēi,xíng
杯盏,bēi,zhǎn
杯装,bēi,zhuāng
杯子,bēi,zi
杯座,bēi,zuò
卑鄙,bēi,bǐ
卑贱,bēi,jiàn
卑劣,bēi,liè
卑怯,bēi,qiè
卑微,bēi,wēi
卑污,bēi,wū
卑下,bēi,xià
卑职,bēi,zhí
悲哀,bēi,āi
悲惨,bēi,cǎn
悲愁,bēi,chóu
悲怆,bēi,chuàng
悲悼,bēi,dào
悲愤,bēi,fèn
悲歌,bēi,gē
悲观,bēi,guān
悲号,bēi,hào
悲欢,bēi,huān
悲剧,bēi,jù
悲苦,bēi,kǔ
悲凉,bēi,liáng
悲悯,bēi,mǐn
悲鸣,bēi,míng
悲凄,bēi,qī
悲戚,bēi,qī
悲泣,bēi,qì
悲切,bēi,qiè
悲伤,bēi,shāng
悲声,bēi,shēng
悲酸,bēi,suān
悲叹,bēi,tàn
悲恸,bēi,tòng
悲痛,bēi,tòng
悲咽,bēi,yè
悲翼,bēi,yì
悲壮,bēi,zhuàng
碑跋,bēi,bá
碑记,bēi,jì
碑碣,bēi,jié
碑刻,bēi,kè
碑廊,bēi,láng
碑林,bēi,lín
碑录,bēi,lù
碑铭,bēi,míng
碑石,bēi,shí
碑薮,bēi,sǒu
碑帖,bēi,tiè
碑亭,bēi,tíng
碑拓,bēi,tà
碑文,bēi,wén
碑学,bēi,xué
碑垭,bēi,yà
碑阴,bēi,yīn
碑志,bēi,zhì
碑座,bēi,zuò
鹎科,bēi,kē
北碚,běi,bèi
北边,běi,biān
北部,běi,bù
北朝,běi,cháo
北辰,běi,chén
北斗,běi,dǒu
北伐,běi,fá
北方,běi,fāng
北非,běi,fēi
北风,běi,fēng
北国,běi,guó
北海,běi,hǎi
北极,běi,jí
北江,běi,jiāng
北疆,běi,jiāng
北郊,běi,jiāo
北京,běi,jīng
北门,běi,mén
北面,běi,miàn
北欧,běi,ōu
北齐,běi,qí
北曲,běi,qǔ
北上,běi,shàng
北宋,běi,sòng
北纬,běi,wěi
北魏,běi,wèi
北洋,běi,yáng
北周,běi,zhōu
贝蒂,bèi,dì
贝雕,bèi,diāo
贝多,bèi,duō
贝尔,bèi,ěr
贝加,bèi,jiā
贝科,bèi,kē
贝壳,bèi,ké
贝克,bèi,kè
贝劳,bèi,láo
贝勒,bèi,lè
贝类,bèi,lèi
贝利,bèi,lì
贝羚,bèi,líng
贝母,bèi,mǔ
贝侬,bèi,nóng
贝萨,bèi,sà
贝氏,bèi,shì
贝塔,bèi,tǎ
贝塘,bèi,táng
贝珠,bèi,zhū
贝柱,bèi,zhù
贝子,bèi,zǐ
备案,bèi,àn
备办,bèi,bàn
备菜,bèi,cài
备抵,bèi,dǐ
备电,bèi,diàn
备份,bèi,fèn
备付,bèi,fù
备耕,bèi,gēng
备荒,bèi,huāng
备货,bèi,huò
备件,bèi,jiàn
备考,bèi,kǎo
备课,bèi,kè
备料,bèi,liào
备品,bèi,pǐn
备齐,bèi,qí
备取,bèi,qǔ
备受,bèi,shòu
备疏,bèi,shū
备述,bèi,shù
备选,bèi,xuǎn
备用,bèi,yòng
备战,bèi,zhàn
备至,bèi,zhì
备置,bèi,zhì
备注,bèi,zhù
备足,bèi,zú
背包,bēi,bāo
背部,bèi,bù
背带,bēi,dài
背地,bèi,dì
背风,bèi,fēng
背负,bēi,fù
背光,bèi,guāng
背后,bèi,hòu
背脊,bèi,jǐ
背景,bèi,jǐng
背靠,bèi,kào
背筐,bēi,kuāng
背离,bèi,lí
背篓,bēi,lǒu
背面,bèi,miàn
背囊,bèi,náng
背叛,bèi,pàn
背鳍,bèi,qí
背气,bèi,qì
背弃,bèi,qì
背人,bèi,rén
背时,bèi,shí
背书,bèi,shū
背熟,bèi,shú
背诵,bèi,sòng
背头,bēi,tóu
背向,bèi,xiàng
背心,bèi,xīn
背信,bèi,xìn
背阴,bèi,yīn
背影,bèi,yǐng
背运,bèi,yùn
背债,bēi,zhài
背着,bēi,zhe
钡餐,bèi,cān
钡星,bèi,xīng
倍感,bèi,gǎn
倍护,bèi,hù
倍加,bèi,jiā
倍佳,bèi,jiā
倍健,bèi,jiàn
倍珞,bèi,luò
倍率,bèi,lǜ
倍频,bèi,pín
倍受,bèi,shòu
倍数,bèi,shù
倍图,bèi,tú
倍欣,bèi,xīn
倍新,bèi,xīn
倍液,bèi,yè
倍增,bèi,zēng
倍直,bèi,zhí
悖理,bèi,lǐ
悖乱,bèi,luàn
悖逆,bèi,nì
被捕,bèi,bǔ
被单,bèi,dān
被盗,bèi,dào
被动,bèi,dòng
被服,bèi,fú
被俘,bèi,fú
被覆,bèi,fù
被告,bèi,gào
被拘,bèi,jū
被拒,bèi,jù
被面,bèi,miàn
被膜,bèi,mó
被难,bèi,nàn
被毯,bèi,tǎn
被套,bèi,tào
被头,bèi,tóu
被絮,bèi,xù
被押,bèi,yā
被罩,bèi,zhào
被子,bèi,zi
辈出,bèi,chū
辈分,bèi,fēn
辈子,bèi,zi
焙干,bèi,gān
焙烧,bèi,shāo
蓓护,bèi,hù
蓓蕾,bèi,lěi
蓓莉,bèi,lì
奔波,bēn,bō
奔驰,bēn,chí
奔窜,bēn,cuàn
奔放,bēn,fàng
奔赴,bēn,fù
奔流,bēn,líu
奔忙,bēn,máng
奔命,bèn,mìng
奔跑,bēn,pǎo
奔丧,bēn,sāng
奔驶,bēn,shǐ
奔逃,bēn,táo
奔腾,bēn,téng
奔头,bèn,tóu
奔袭,bēn,xí
奔泻,bēn,xiè
奔涌,bēn,yǒng
奔走,bēn,zǒu
贲集,bēn,jí
贲门,bēn,mén
贲巷,bēn,xiàng
锛子,bēn,zǐ
本白,běn,bái
本本,běn,běn
本币,běn,bì
本博,běn,bó
本部,běn,bù
本埠,běn,bù
本草,běn,cǎo
本岛,běn,dǎo
本底,běn,dǐ
本地,běn,dì
本分,běn,fèn
本符,běn,fú
本该,běn,gāi
本国,běn,guó
本行,běn,háng
本籍,běn,jí
本纪,běn,jì
本家,běn,jiā
本届,běn,jiè
本金,běn,jīn
本刊,běn,kān
本科,běn,kē
本来,běn,lái
本垒,běn,lěi
本利,běn,lì
本领,běn,lǐng
本名,běn,míng
本末,běn,mò
本娜,běn,nà
本能,běn,néng
本尼,běn,ní
本年,běn,nián
本票,běn,piào
本钱,běn,qián
本人,běn,rén
本色,běn,shǎi
本身,běn,shēn
本事,běn,shì
本题,běn,tí
本体,běn,tǐ
本土,běn,tǔ
本位,běn,wèi
本文,běn,wén
本我,běn,wǒ
本息,běn,xī
本溪,běn,xī
本乡,běn,xiāng
本相,běn,xiàng
本校,běn,xiào
本性,běn,xìng
本旬,běn,xún
本业,běn,yè
本义,běn,yì
本意,běn,yì
本影,běn,yǐng
本原,běn,yuán
本源,běn,yuán
本愿,běn,yuàn
本月,běn,yuè
本悦,běn,yuè
本盏,běn,zhǎn
本章,běn,zhāng
本着,běn,zhe
本征,běn,zhēng
本证,běn,zhèng
本职,běn,zhí
本质,běn,zhì
本子,běn,zi
苯胺,běn,àn
苯酚,běn,fēn
苯环,běn,huán
苯基,běn,jī
苯肼,běn,jǐng
苯芪,běn,qí
苯酸,běn,suān
苯肽,běn,tài
苯酞,běn,tài
苯烯,běn,xī
苯酰,běn,xiān
苯氧,běn,yǎng
苯乍,běn,zhà
畚斗,běn,dòu
畚箕,běn,jī
笨重,bèn,zhòng
笨拙,bèn,zhuō
崩陂,bēng,bēi
崩堤,bēng,dī
崩滑,bēng,huá
崩坎,bēng,kǎn
崩溃,bēng,kuì
崩裂,bēng,liè
崩漏,bēng,lòu
崩塌,bēng,tā
崩坍,bēng,tān
崩塘,bēng,táng
崩崖,bēng,yá
绷带,bēng,dài
绷簧,bēng,huáng
绷脸,běng,liǎn
绷子,bēng,zǐ
甭锄,béng,chú
泵房,bèng,fáng
泵管,bèng,guǎn
泵机,bèng,jī
泵室,bèng,shì
泵套,bèng,tào
泵效,bèng,xiào
泵型,bèng,xíng
泵站,bèng,zhàn
泵装,bèng,zhuāng
泵座,bèng,zuò
迸发,bèng,fā
迸溅,bèng,jiàn
迸裂,bèng,liè
迸流,bèng,líu
迸射,bèng,shè
迸现,bèng,xiàn
蹦高,bèng,gāo
蹦极,bèng,jí
蹦跳,bèng,tiào
逼反,bī,fǎn
逼供,bī,gòng
逼和,bī,hé
逼婚,bī,hūn
逼肌,bī,jī
逼奸,bī,jiān
逼近,bī,jìn
逼迫,bī,pò
逼人,bī,rén
逼视,bī,shì
逼问,bī,wèn
逼向,bī,xiàng
逼样,bī,yàng
逼仄,bī,zè
逼债,bī,zhài
逼真,bī,zhēn
鲾科,bī,kē
荸荠,bí,qi
鼻窦,bí,dòu
鼻儿,bí,ér
鼻根,bí,gēn
鼻管,bí,guǎn
鼻肌,bí,jī
鼻甲,bí,jiǎ
鼻尖,bí,jiān
鼻疽,bí,jū
鼻孔,bí,kǒng
鼻梁,bí,liáng
鼻腔,bí,qiāng
鼻塞,bí,sè
鼻煽,bí,shān
鼻深,bí,shēn
鼻舒,bí,shū
鼻饲,bí,sì
鼻涕,bí,tì
鼻头,bí,tóu
鼻息,bí,xī
鼻咽,bí,yān
鼻烟,bí,yān
鼻炎,bí,yán
鼻翼,bí,yì
鼻音,bí,yīn
鼻影,bí,yǐng
鼻子,bí,zi
鼻祖,bí,zǔ
匕石,bǐ,shí
匕首,bǐ,shǒu
匕潭,bǐ,tán
比比,bǐ,bǐ
比迪,bǐ,dí
比方,bǐ,fāng
比分,bǐ,fēn
比附,bǐ,fù
比划,bǐ,huà
比及,bǐ,jí
比嘉,bǐ,jiā
比价,bǐ,jià
比肩,bǐ,jiān
比较,bǐ,jiào
比立,bǐ,lì
比例,bǐ,lì
比量,bǐ,liáng
比邻,bǐ,lín
比吕,bǐ,lǚ
比率,bǐ,lǜ
比美,bǐ,měi
比姆,bǐ,mǔ
比拟,bǐ,nǐ
比年,bǐ,nián
比配,bǐ,pèi
比倩,bǐ,qiàn
比丘,bǐ,qīu
比热,bǐ,rè
比如,bǐ,rú
比萨,bǐ,sà
比赛,bǐ,sài
比熵,bǐ,shāng
比绍,bǐ,shào
比湿,bǐ,shī
比试,bǐ,shì
比适,bǐ,shì
比斯,bǐ,sī
比索,bǐ,suǒ
比特,bǐ,tè
比威,bǐ,wēi
比武,bǐ,wǔ
比星,bǐ,xīng
比翼,bǐ,yì
比喻,bǐ,yù
比粘,bǐ,zhān
比照,bǐ,zhào
比值,bǐ,zhí
比重,bǐ,zhòng
比作,bǐ,zuò
吡啶,bǐ,dìng
吡咯,bǐ,luò
吡喃,bǐ,nán
吡唑,bǐ,zuò
彼岸,bǐ,àn
彼此,bǐ,cǐ
彼嘉,bǐ,jiā
彼物,bǐ,wù
秕谷,bǐ,gǔ
